Date,Argentina,Australia,Austria,Belgium,Brazil,Canada,China,Denmark,Finland,France,Germany,Greece,Hong Kong,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Mexico,Netherlands,New Zealand,Norway,Philippines,Portugal,Singapore,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Kingdom,USA
1990-02-28,0.2029,-0.07195,0.19477,-0.09438,0.06671,-0.00032,,-0.00153,-0.02959,-0.02674,-0.02153,0.05138,0.07681,,0.16469,-0.03179,,-0.04811,-0.10369,-0.05025,0.06038,-0.03297,-0.07694,0.07191,-0.02169,-0.02251,0.02055,-0.0305,-0.04726,0.00072,-0.06079,-0.06326,-0.01709,-0.03024,0.01188
1990-03-30,0.16397,-0.02835,0.01664,0.08645,-0.66933,0.00648,,0.04798,-0.07396,0.0637,0.0951,0.04896,0.01854,,0.22255,-0.01384,,0.03743,-0.19423,-0.0268,0.00449,0.04157,-0.04342,0.00941,-0.04429,-0.03528,-0.02706,-0.08769,-0.04015,-0.03717,-0.12631,0.03404,-0.14059,-0.0319,0.0207
1990-04-30,0.1299,-0.07071,-0.1289,-0.01046,0.81251,-0.07731,,-0.06591,-0.08059,0.05774,-0.06998,0.48276,-0.01139,,-0.02997,-0.05935,,0.0241,0.01222,-0.20457,0.05641,-0.03398,-0.02366,-0.06334,-0.10889,0.03551,-0.08264,0.10412,0.02474,-0.01469,-0.11641,0.0014,0.00138,-0.06732,-0.02329
1990-05-31,-0.01234,0.08797,-0.0205,0.02127,-0.11863,0.0709,,0.05558,0.01177,0.01876,0.01059,0.02581,0.07165,,-0.01977,0.05918,,0.06157,0.14271,0.15436,0.2656,0.03805,0.10088,0.09355,-0.11307,-0.00475,0.11732,0.04728,0.12935,0.16464,-0.21971,0.15684,0.09357,0.14541,0.08944
1990-06-29,-0.00886,0.03953,0.08149,0.00344,0.01506,-0.00613,,0.00903,-0.01949,-0.01627,0.0417,0.4697,0.03846,,-0.02445,0.01488,,0.01769,-0.04705,-0.10617,-0.05802,0.00912,-0.00678,-0.03001,0.0199,0.02223,5e-05,0.07338,0.05389,0.01629,-0.26121,0.05407,0.01104,0.05622,-0.00643
1990-07-31,0.1603,0.0445,0.12281,0.05192,0.24803,0.0181,,0.07572,0.04351,0.00761,0.07133,-0.00648,0.04944,,-0.02572,-0.00378,,0.00689,-0.01389,-0.04695,0.12442,0.04899,0.05355,0.11418,0.02161,0.00816,0.05985,0.04043,0.04346,0.01393,0.04648,0.06696,0.10414,0.03981,-0.00428
1990-08-31,-0.12712,-0.01911,-0.17663,-0.09579,-0.16174,-0.05342,,-0.0708,-0.07516,-0.12896,-0.14987,-0.09715,-0.11666,,-0.0538,-0.17825,,-0.14535,-0.09771,-0.1228,-0.10767,-0.07968,-0.0574,-0.05906,-0.22658,-0.09036,-0.14884,-0.12388,-0.13347,-0.10903,-0.33666,-0.21089,-0.04319,-0.05647,-0.09426
1990-09-28,0.09026,-0.06042,-0.23405,-0.09993,-0.14329,-0.04695,,-0.08807,-0.19052,-0.10719,-0.17814,-0.12821,-0.11432,,-0.17148,-0.07439,,-0.12102,-0.16413,-0.01397,-0.09671,-0.05161,-0.11182,-0.09194,-0.151,-0.13399,-0.15999,-0.18845,-0.21607,-0.11922,-0.24215,-0.25284,0.03969,-0.09224,-0.04945
1990-10-31,-0.11084,-0.0959,0.11298,0.07873,-0.29132,-0.03354,,0.08968,-0.0055,0.10821,0.12737,-0.13075,0.0829,,-0.07875,0.14545,,0.04345,0.24184,0.17742,0.17188,0.03974,-0.11071,-0.0434,0.01682,0.01115,0.07755,0.13987,0.04668,0.05867,0.20962,0.00026,-0.10494,0.07685,-0.00633
1990-11-30,0.04554,-0.00218,0.00013,-0.03109,0.0337,0.02419,,-0.04586,0.04103,-0.01216,0.01832,-0.10253,-0.00679,,-0.09889,-0.09239,,-0.10301,-0.12064,0.01429,0.0333,0.00596,-0.05486,-0.00558,-0.02683,-0.09436,-0.03637,-0.02244,-0.07942,-0.0219,0.25034,-0.13695,-0.26883,0.05076,0.06239
1990-12-31,-0.0497,-0.02955,-0.00482,0.00141,-0.0934,0.04046,,-0.03356,-0.05595,-0.05018,-0.03771,0.04076,0.00746,,0.16687,-0.00964,,0.02912,0.04647,-0.00958,-0.00294,-0.0032,-0.10203,-0.07524,0.04752,-0.00409,0.05335,-0.02387,0.02422,-0.00017,0.02436,0.12466,-0.02704,-0.01084,0.02468
1991-01-31,0.04444,0.05387,-0.03934,0.01042,0.46586,-0.00273,,0.02739,-0.01469,0.03699,0.02532,-0.04198,0.07174,,-0.09313,-0.02348,,-0.02909,0.02791,-0.09278,-0.02302,-0.00626,0.0674,-0.05901,0.11669,0.04028,0.03653,0.06566,0.15518,0.05408,-0.1098,0.10306,0.28324,0.03432,0.04466
1991-02-28,0.12239,0.06946,0.1571,0.10545,0.22151,0.06423,,0.10028,0.09967,0.09361,0.06847,0.37362,0.09693,,0.04514,0.17903,,0.14717,0.1256,0.05968,0.05445,0.07282,0.07939,0.0893,0.2205,0.16497,0.13044,0.12225,0.07654,0.06624,0.25948,0.16412,0.16387,0.07773,0.06625
1991-03-29,0.52013,0.0117,-0.10083,-0.07035,-0.11306,-0.00406,,-0.09092,0.07895,-0.07448,-0.1354,-0.15361,0.05778,,0.02648,-0.06514,,-0.09632,-0.06261,-0.05109,0.26718,-0.04568,-0.06836,-0.06342,0.07087,-0.10522,0.00554,-0.02342,-0.04041,-0.04981,0.03814,0.08843,-0.20186,-0.05538,0.02169
1991-04-30,0.02431,0.07582,0.01339,-0.03354,0.03691,0.00861,,-0.03519,-0.05615,-0.02884,0.03318,-0.09263,-0.02993,,0.0005,-0.03525,,-0.02621,0.02443,-0.00372,0.12417,0.02083,0.08361,-0.06476,0.05561,-0.04929,0.01237,-0.05083,-0.06155,0.00129,0.17271,-0.00924,-0.25148,-0.01604,0.00126
1991-05-31,0.02067,-0.03244,-0.01958,-0.00562,0.46658,0.03349,,0.03813,-0.02861,0.03655,0.06308,-0.12924,0.03941,,-0.04672,-0.0101,,0.05506,-0.00506,-0.04733,0.16187,0.01144,0.03443,0.0947,0.10959,-0.05349,0.01164,0.04795,0.07693,0.03942,-0.04706,-0.09584,-0.07017,0.00354,0.03891
