company,ticker,permno
3M Company,MMM,22592
"Amazon.com, Inc.",AMZN,84788
American Express Company,AXP,59176
Amgen Inc.,AMGN,14008
Apple Inc.,AAPL,14593
Caterpillar Inc.,CAT,18542
"Cisco Systems, Inc.",CSCO,76076
Honeywell International Inc.,HON,10145
JPMorgan Chase & Co.,JPM,47896
Johnson & Johnson,JNJ,22111
Microsoft Corporation,MSFT,10107
"Nike, Inc.",NKE,57665
Nvidia Corporation,NVDA,86580
"Salesforce, Inc.",CRM,90215
The Boeing Company,BA,19561
The Coca-Cola Company,KO,11308
"The Goldman Sachs Group, Inc.",GS,86868
"The Home Depot, Inc.",HD,66181
The Procter & Gamble Company,PG,18163
The Sherwin-Williams Company,SHW,36468
"The Travelers Companies, Inc.",TRV,59459
UnitedHealth Group Incorporated,UNH,92655
Verizon Communications Inc.,VZ,65875
Visa Inc.,V,92611
Walmart Inc.,WMT,55976
"Merck & Co., Inc.",MRK,22752
The Walt Disney Company,DIS,26403
McDonald's Corporation,MCD,43449
Chevron Corporation,CVX,14541
International Business Machines Corporation,IBM,12490
